date,includes_entity,includes_officer,includes_intermediary
1/1/1977,226,415,509
2/1/1977,227,415,510
3/1/1977,232,416,514
4/1/1977,237,416,519
5/1/1977,238,417,519
6/1/1977,241,417,522
7/1/1977,247,417,528
8/1/1977,251,417,532
9/1/1977,256,417,537
10/1/1977,265,417,546
11/1/1977,269,417,550
12/1/1977,284,417,565
1/1/1978,295,417,576
2/1/1978,318,426,590
3/1/1978,329,427,600
4/1/1978,337,427,608
5/1/1978,348,428,618
6/1/1978,361,428,631
7/1/1978,376,428,646
8/1/1978,400,438,660
9/1/1978,420,438,680
10/1/1978,446,439,705
11/1/1978,469,439,728
12/1/1978,490,439,749
1/1/1979,513,441,770
2/1/1979,526,442,782
3/1/1979,540,442,796
4/1/1979,567,442,823
5/1/1979,599,443,854
6/1/1979,619,443,874
7/1/1979,635,445,888
8/1/1979,661,445,914
9/1/1979,680,445,933
10/1/1979,703,445,956
11/1/1979,735,445,988
12/1/1979,755,447,1006
1/1/1980,775,447,1026
2/1/1980,826,469,1055
3/1/1980,855,473,1080
4/1/1980,887,473,1112
5/1/1980,919,483,1134
6/1/1980,940,483,1155
7/1/1980,968,483,1183
8/1/1980,992,484,1206
9/1/1980,1021,484,1235
10/1/1980,1048,484,1262
11/1/1980,1082,484,1296
12/1/1980,1126,486,1338
1/1/1981,1153,486,1365
2/1/1981,1179,486,1391
3/1/1981,1205,486,1417
4/1/1981,1241,486,1453
5/1/1981,1282,486,1494
6/1/1981,1345,487,1556
7/1/1981,1399,492,1605
8/1/1981,1432,492,1638
9/1/1981,1460,492,1666
10/1/1981,1498,493,1703
11/1/1981,1541,493,1746
12/1/1981,1586,493,1791
1/1/1982,1623,494,1827
2/1/1982,1683,494,1887
3/1/1982,1717,494,1921
4/1/1982,1800,500,1998
5/1/1982,1830,500,2028
6/1/1982,1872,502,2068
7/1/1982,1939,504,2133
8/1/1982,1984,504,2178
9/1/1982,2042,506,2234
10/1/1982,2089,506,2281
11/1/1982,2151,511,2338
12/1/1982,2202,511,2389
1/1/1983,2251,511,2438
2/1/1983,2309,511,2496
3/1/1983,2373,513,2558
4/1/1983,2432,516,2614
5/1/1983,2498,516,2680
6/1/1983,2566,518,2746
7/1/1983,2606,517,2787
8/1/1983,2647,517,2828
9/1/1983,2687,519,2866
10/1/1983,2737,526,2909
11/1/1983,2845,535,3008
12/1/1983,2920,546,3072
1/1/1984,2977,546,3129
2/1/1984,3024,548,3174
3/1/1984,3081,550,3229
4/1/1984,3181,552,3327
5/1/1984,3230,555,3373
6/1/1984,3293,560,3431
7/1/1984,3342,560,3480
8/1/1984,3376,560,3514
9/1/1984,3427,561,3564
10/1/1984,3484,561,3621
11/1/1984,3568,561,3705
12/1/1984,3638,561,3775
1/1/1985,3725,561,3862
2/1/1985,3775,568,3905
3/1/1985,3825,568,3955
4/1/1985,3877,569,4006
5/1/1985,3951,569,4080
6/1/1985,4007,577,4128
7/1/1985,4078,581,4195
8/1/1985,4131,581,4248
9/1/1985,4190,592,4296
10/1/1985,4283,594,4387
11/1/1985,4381,598,4481
12/1/1985,4447,603,4542
1/1/1986,4511,610,4599
2/1/1986,4612,617,4693
3/1/1986,4661,619,4740
4/1/1986,4776,624,4850
5/1/1986,4871,626,4943
6/1/1986,4957,628,5027
7/1/1986,5059,630,5127
8/1/1986,5169,637,5230
9/1/1986,5241,642,5297
10/1/1986,5361,647,5412
11/1/1986,5505,653,5550
12/1/1986,5642,662,5678
1/1/1987,5775,669,5804
2/1/1987,5873,681,5890
3/1/1987,6011,685,6024
4/1/1987,6136,690,6144
5/1/1987,6277,704,6271
6/1/1987,6421,713,6406
7/1/1987,6557,723,6532
8/1/1987,6637,728,6607
9/1/1987,6803,736,6765
10/1/1987,6907,743,6862
11/1/1987,7039,751,6986
12/1/1987,7155,754,7099
1/1/1988,7197,755,7140
2/1/1988,7270,762,7206
3/1/1988,7344,771,7271
4/1/1988,7420,775,7343
5/1/1988,7517,779,7436
6/1/1988,7588,791,7495
7/1/1988,7655,802,7551
8/1/1988,7715,812,7601
9/1/1988,7761,818,7641
10/1/1988,7817,823,7692
11/1/1988,7895,833,7760
12/1/1988,7930,841,7787
1/1/1989,8005,871,7832
2/1/1989,8231,891,8038
3/1/1989,8348,901,8145
4/1/1989,8592,920,8370
5/1/1989,8765,947,8516
6/1/1989,8874,970,8602
7/1/1989,8976,991,8683
8/1/1989,9121,1014,8805
9/1/1989,9079,1038,8739
10/1/1989,9220,1051,8867
11/1/1989,9335,1058,8975
12/1/1989,9445,1077,9066
1/1/1990,9479,1083,9094
2/1/1990,9999,1128,9569
3/1/1990,10225,1158,9765
4/1/1990,10530,1189,10039
5/1/1990,10814,1225,10287
6/1/1990,11150,1261,10587
7/1/1990,11469,1296,10871
8/1/1990,11844,1332,11210
9/1/1990,12235,1374,11559
10/1/1990,12658,1410,11946
11/1/1990,13114,1438,12374
12/1/1990,13552,1478,12772
1/1/1991,13954,1513,13139
2/1/1991,14721,1553,13866
3/1/1991,15088,1594,14192
4/1/1991,15526,1626,14598
5/1/1991,15938,1681,14955
6/1/1991,16403,1738,15363
7/1/1991,16861,1793,15766
8/1/1991,17315,1841,16172
9/1/1991,17748,1877,16569
10/1/1991,18232,1926,17004
11/1/1991,18573,1971,17300
12/1/1991,18846,2009,17535
1/1/1992,19061,2056,17703
2/1/1992,19784,2104,18378
3/1/1992,20305,2153,18850
4/1/1992,20874,2223,19349
5/1/1992,21278,2259,19717
6/1/1992,21868,2335,20231
7/1/1992,22411,2392,20717
8/1/1992,22938,2460,21176
9/1/1992,23505,2504,21699
10/1/1992,24043,2532,22209
11/1/1992,24484,2583,22599
12/1/1992,24931,2675,22954
1/1/1993,25205,2731,23172
2/1/1993,25475,2801,23372
3/1/1993,25997,2855,23840
4/1/1993,26847,2900,24645
5/1/1993,27379,2966,25111
6/1/1993,28244,3039,25903
7/1/1993,29119,3128,26689
8/1/1993,30005,3228,27475
9/1/1993,30694,3300,28092
10/1/1993,31687,3355,29030
11/1/1993,32488,3433,29753
12/1/1993,33376,3519,30555
1/1/1994,32638,3589,29747
2/1/1994,34491,3732,31457
3/1/1994,35486,3818,32366
4/1/1994,36691,3905,33484
5/1/1994,37168,4011,33855
6/1/1994,38247,4159,34786
7/1/1994,39488,4302,35884
8/1/1994,40510,4378,36830
9/1/1994,41663,4453,37908
10/1/1994,42715,4523,38890
11/1/1994,43782,4640,39840
12/1/1994,44597,4761,40534
1/1/1995,42477,4841,38334
2/1/1995,44672,4995,40375
3/1/1995,45833,5083,41448
4/1/1995,47214,5204,42708
5/1/1995,48025,5319,43404
6/1/1995,48966,5416,44248
7/1/1995,50012,5502,45208
8/1/1995,51188,5617,46269
9/1/1995,52431,5722,47407
10/1/1995,53745,5966,48477
11/1/1995,54786,6105,49379
12/1/1995,55605,6250,50053
1/1/1996,56233,6380,50551
2/1/1996,54857,6559,48996
3/1/1996,56278,6682,50294
4/1/1996,57723,6843,51578
5/1/1996,58738,6964,52472
6/1/1996,59830,7097,53431
7/1/1996,61279,7258,54719
8/1/1996,62880,7439,56139
9/1/1996,64169,7563,57304
10/1/1996,65775,7724,58749
11/1/1996,66891,7897,59692
12/1/1996,67498,8127,60069
1/1/1997,68554,8449,60803
2/1/1997,71504,8717,63485
3/1/1997,73426,8961,65163
4/1/1997,75093,9187,66604
5/1/1997,77326,9507,68517
6/1/1997,78923,9714,69907
7/1/1997,82044,9942,72800
8/1/1997,84282,10165,74815
9/1/1997,86658,10343,77013
10/1/1997,89451,10594,79555
11/1/1997,84476,10737,74437
12/1/1997,85476,11056,75118
1/1/1998,86304,11220,75782
2/1/1998,86181,11510,75369
3/1/1998,88092,11786,77004
4/1/1998,90534,12058,79174
5/1/1998,91884,12298,80284
6/1/1998,92875,12527,81046
7/1/1998,95533,12789,83442
8/1/1998,97178,13051,84825
9/1/1998,98733,13349,86082
10/1/1998,100270,13601,87367
11/1/1998,101072,13786,87984
12/1/1998,101503,13978,88223
1/1/1999,92924,14118,79504
2/1/1999,94839,14484,81053
3/1/1999,96355,14704,82349
4/1/1999,98574,15006,84266
5/1/1999,99764,15249,85213
6/1/1999,100916,15533,86081
7/1/1999,102951,15850,87799
8/1/1999,105093,16142,89649
9/1/1999,107446,16421,91723
10/1/1999,109706,16860,93544
11/1/1999,111016,17214,94500
12/1/1999,112058,17679,95077
1/1/2000,113102,18017,95783
2/1/2000,101185,18440,83443
3/1/2000,104145,18914,85929
4/1/2000,107065,19580,88183
5/1/2000,108886,20123,89461
6/1/2000,110625,20740,90583
7/1/2000,112461,21066,92093
8/1/2000,114879,21587,93990
9/1/2000,116828,22055,95471
10/1/2000,118697,22550,96845
11/1/2000,120218,23151,97765
12/1/2000,121214,23631,98281
1/1/2001,122178,24092,98784
2/1/2001,110398,24560,86536
3/1/2001,111798,24985,87511
4/1/2001,113185,25580,88303
5/1/2001,113931,25933,88696
6/1/2001,114773,26670,88801
7/1/2001,116007,27131,89574
8/1/2001,117270,27574,90394
9/1/2001,118529,28037,91190
10/1/2001,119324,28462,91560
11/1/2001,119704,28835,91567
12/1/2001,119346,29185,90859
1/1/2002,119557,29674,90581
2/1/2002,120489,30285,90902
3/1/2002,121411,30726,91383
4/1/2002,122475,31200,91973
5/1/2002,122988,31645,92041
6/1/2002,122619,32000,91317
7/1/2002,123677,32524,91851
8/1/2002,125165,33122,92741
9/1/2002,107547,33443,74802
10/1/2002,108707,34001,75404
11/1/2002,108844,34322,75220
12/1/2002,107441,34407,73732
1/1/2003,107664,34917,73445
2/1/2003,108838,35522,74014
3/1/2003,110143,36174,74667
4/1/2003,111939,37208,75429
5/1/2003,103924,37241,67381
6/1/2003,103442,37582,66558
7/1/2003,104841,38256,67283
8/1/2003,106628,39182,68144
9/1/2003,107965,39956,68707
10/1/2003,109563,40823,69438
11/1/2003,110743,42040,69401
12/1/2003,109698,42242,68154
1/1/2004,110390,42741,68347
2/1/2004,112210,43624,69284
3/1/2004,113984,44578,70104
4/1/2004,116386,45794,71290
5/1/2004,117147,46404,71441
6/1/2004,112214,46492,66420
7/1/2004,114314,47555,67457
8/1/2004,116130,48612,68216
9/1/2004,117748,49478,68968
10/1/2004,119641,50495,69844
11/1/2004,120344,51062,69980
12/1/2004,119586,51283,69001
1/1/2005,122040,52658,70080
2/1/2005,124530,54271,70957
3/1/2005,123426,55256,68868
4/1/2005,126028,56684,70042
5/1/2005,128492,58320,70870
6/1/2005,129682,59675,70705
7/1/2005,133435,61910,72223
8/1/2005,136393,63602,73489
9/1/2005,138415,64794,74319
10/1/2005,140130,65737,75091
11/1/2005,140683,66326,75055
12/1/2005,139489,66497,73690
1/1/2006,139980,67123,73555
2/1/2006,142414,68413,74699
3/1/2006,141802,69495,73005
4/1/2006,144729,71232,74195
5/1/2006,145335,71762,74271
6/1/2006,143900,71465,73133
