date,includes_entity,includes_officer,includes_intermediary
1977-01-01,226,415,509
1977-02-01,227,415,510
1977-03-01,232,416,514
1977-04-01,237,416,519
1977-05-01,238,417,519
1977-06-01,241,417,522
1977-07-01,247,417,528
1977-08-01,251,417,532
1977-09-01,256,417,537
1977-10-01,265,417,546
1977-11-01,269,417,550
1977-12-01,284,417,565
1978-01-01,295,417,576
1978-02-01,318,426,590
1978-03-01,329,427,600
1978-04-01,337,427,608
1978-05-01,348,428,618
1978-06-01,361,428,631
1978-07-01,376,428,646
1978-08-01,400,438,660
1978-09-01,420,438,680
1978-10-01,446,439,705
1978-11-01,469,439,728
1978-12-01,490,439,749
1979-01-01,513,441,770
1979-02-01,526,442,782
1979-03-01,540,442,796
1979-04-01,567,442,823
1979-05-01,599,443,854
1979-06-01,619,443,874
1979-07-01,635,445,888
1979-08-01,661,445,914
1979-09-01,680,445,933
1979-10-01,703,445,956
1979-11-01,735,445,988
1979-12-01,755,447,1006
1980-01-01,775,447,1026
1980-02-01,826,469,1055
1980-03-01,855,473,1080
1980-04-01,887,473,1112
1980-05-01,919,483,1134
1980-06-01,940,483,1155
1980-07-01,968,483,1183
1980-08-01,992,484,1206
1980-09-01,1021,484,1235
1980-10-01,1048,484,1262
1980-11-01,1082,484,1296
1980-12-01,1126,486,1338
1981-01-01,1153,486,1365
1981-02-01,1179,486,1391
1981-03-01,1205,486,1417
1981-04-01,1241,486,1453
1981-05-01,1282,486,1494
1981-06-01,1345,487,1556
1981-07-01,1399,492,1605
1981-08-01,1432,492,1638
1981-09-01,1460,492,1666
1981-10-01,1498,493,1703
1981-11-01,1541,493,1746
1981-12-01,1586,493,1791
1982-01-01,1623,494,1827
1982-02-01,1683,494,1887
1982-03-01,1717,494,1921
1982-04-01,1800,500,1998
1982-05-01,1830,500,2028
1982-06-01,1872,502,2068
1982-07-01,1939,504,2133
1982-08-01,1984,504,2178
1982-09-01,2042,506,2234
1982-10-01,2089,506,2281
1982-11-01,2151,511,2338
1982-12-01,2202,511,2389
1983-01-01,2251,511,2438
1983-02-01,2309,511,2496
1983-03-01,2373,513,2558
1983-04-01,2432,516,2614
1983-05-01,2498,516,2680
1983-06-01,2566,518,2746
1983-07-01,2606,517,2787
1983-08-01,2647,517,2828
1983-09-01,2687,519,2866
1983-10-01,2737,526,2909
1983-11-01,2845,535,3008
1983-12-01,2920,546,3072
1984-01-01,2977,546,3129
1984-02-01,3024,548,3174
1984-03-01,3081,550,3229
1984-04-01,3181,552,3327
1984-05-01,3230,555,3373
1984-06-01,3293,560,3431
1984-07-01,3342,560,3480
1984-08-01,3376,560,3514
1984-09-01,3427,561,3564
